Symbol,Last_Price,Industry,Sector
VMO,9.99,Asset Management,Financial Services
EGAN,9.99,Software - Application,Technology
ORIC,9.99,Biotechnology,Healthcare
TECTP,9.99,Banks - Regional,Financial Services
EIM,9.99,Asset Management,Financial Services
AMPX,9.97,Electrical Equipment & Parts,Industrials
IGA,9.97,Asset Management,Financial Services
EVV,9.95,Asset Management,Financial Services
VKQ,9.95,Asset Management,Financial Services
FCT,9.94,Asset Management,Financial Services
BLBX,9.93,Software - Application,Technology
INSG,9.9,Communication Equipment,Technology
MFG,9.9,Banks - Regional,Financial Services
NML,9.9,Asset Management,Financial Services
JOBY,9.9,Airports & Air Services,Industrials
KW,9.89,Real Estate Services,Real Estate
MFA,9.89,REIT - Mortgage,Real Estate
EKSO,9.87,Medical Instruments & Supplies,Healthcare
LAKE,9.87,Apparel Manufacturing,Consumer Cyclical
DRH,9.87,REIT - Hotel & Motel,Real Estate
CSPI,9.86,Information Technology Services,Technology
GNL,9.85,REIT - Diversified,Real Estate
LXU,9.85,Chemicals,Basic Materials
CLSK,9.85,Capital Markets,Financial Services
IMTX,9.84,Biotechnology,Healthcare
AFRI,9.84,Farm Products,Consumer Defensive
YDES,9.84,Biotechnology,Healthcare
OXLC,9.82,Asset Management,Financial Services
GRX,9.82,Asset Management,Financial Services
FTRE,9.79,Biotechnology,Healthcare
ASM,9.79,Other Precious Metals & Mining,Basic Materials
KELYA,9.79,Staffing & Employment Services,Industrials
FUND,9.78,Asset Management,Financial Services
ENGN,9.78,Biotechnology,Healthcare
BW,9.75,Specialty Industrial Machinery,Industrials
BTA,9.73,Asset Management,Financial Services
FGEN,9.71,Biotechnology,Healthcare
SLSR,9.7,Other Precious Metals & Mining,Basic Materials
NIM,9.7,Asset Management,Financial Services
GEOS,9.69,Oil & Gas Equipment & Services,Energy
CLCO,9.67,Oil & Gas Midstream,Energy
PFO,9.66,Asset Management,Financial Services
BHK,9.66,Asset Management,Financial Services
EXG,9.62,Asset Management,Financial Services
TRIP,9.61,Travel Services,Consumer Cyclical
WU,9.6,Credit Services,Financial Services
ARDT,9.6,Medical Care Facilities,Healthcare
DSP,9.56,Software - Application,Technology
HSPTU,9.56,Shell Companies,Financial Services
SERV,9.55,Specialty Industrial Machinery,Industrials
NMR,9.54,Capital Markets,Financial Services
SPIR,9.51,Specialty Business Services,Industrials
ANL,9.51,Biotechnology,Healthcare
STRRP,9.5,Conglomerates,Industrials
VYX,9.49,Information Technology Services,Technology
FA,9.49,Specialty Business Services,Industrials
FTCI,9.49,Solar,Technology
YMM,9.48,Software - Application,Technology
SSSS,9.48,Asset Management,Financial Services
BDJ,9.48,Asset Management,Financial Services
DV,9.45,Advertising Agencies,Communication Services
GT,9.44,Auto Parts,Consumer Cyclical
ETW,9.43,Asset Management,Financial Services
SNBR,9.42,"Furnishings, Fixtures & Appliances",Consumer Cyclical
NRDS,9.41,Internet Content & Information,Communication Services
SUNS,9.41,REIT - Mortgage,Real Estate
